Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-10-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-09-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2015-01-01,1378473
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2015-02-01,1378473
Neraca,Aset,Penyertaan,Penyertaan,2013-08-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-04-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-07-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-06-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-03-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-05-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-11-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-10-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-09-01,0
Neraca,Aset,Penyertaan,Penyertaan,2013-12-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-08-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-04-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-12-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-07-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-06-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-03-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-05-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-11-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-10-01,0
Neraca,Aset,Penyertaan,Penyertaan,2014-09-01,0
Neraca,Aset,Penyertaan,Penyertaan,2015-01-01,0
Neraca,Aset,Penyertaan,Penyertaan,2015-02-01,0
Neraca,Aset,Total Aset,Total Aset,2013-08-01,38980931
Neraca,Aset,Total Aset,Total Aset,2013-04-01,34726819
Neraca,Aset,Total Aset,Total Aset,2013-07-01,33469634
Neraca,Aset,Total Aset,Total Aset,2013-06-01,33752727
Neraca,Aset,Total Aset,Total Aset,2013-03-01,32577785
Neraca,Aset,Total Aset,Total Aset,2013-05-01,34285778
Neraca,Aset,Total Aset,Total Aset,2013-11-01,36693284
Neraca,Aset,Total Aset,Total Aset,2013-10-01,34771169
Neraca,Aset,Total Aset,Total Aset,2013-09-01,35508757
Neraca,Aset,Total Aset,Total Aset,2013-12-01,33222189
Neraca,Aset,Total Aset,Total Aset,2014-08-01,38980931
Neraca,Aset,Total Aset,Total Aset,2014-04-01,38458311
Neraca,Aset,Total Aset,Total Aset,2014-12-01,38041225
Neraca,Aset,Total Aset,Total Aset,2014-07-01,36684570
Neraca,Aset,Total Aset,Total Aset,2014-06-01,42147291
Neraca,Aset,Total Aset,Total Aset,2014-03-01,35464167
Neraca,Aset,Total Aset,Total Aset,2014-05-01,39393180
Neraca,Aset,Total Aset,Total Aset,2014-11-01,44134808
Neraca,Aset,Total Aset,Total Aset,2014-10-01,43475828
Neraca,Aset,Total Aset,Total Aset,2014-09-01,42694050
Neraca,Aset,Total Aset,Total Aset,2015-01-01,40613034
Neraca,Aset,Total Aset,Total Aset,2015-02-01,40882363
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-08-01,772141
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-04-01,593563
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-07-01,602964
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-06-01,555392
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-03-01,513618
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-05-01,623978
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-11-01,672206
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-10-01,647424
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-09-01,628475
Neraca,Aset,Aset Lainnya,Aset Lainnya,2013-12-01,644287
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-08-01,772141
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-04-01,658283
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-12-01,713280
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-07-01,764460
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-06-01,695027
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-03-01,652607
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-05-01,698733
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-11-01,807946
