Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-08-01,596312
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-04-01,296062
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-07-01,489376
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-06-01,428578
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-03-01,218181
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-05-01,376771
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-11-01,859997
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-10-01,773678
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-09-01,681072
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2013-12-01,916843
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-08-01,654561
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-04-01,364171
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-12-01,958138
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-07-01,612588
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-06-01,543281
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-03-01,312195
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-05-01,488472
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-11-01,886485
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-10-01,832513
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2014-09-01,742893
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2015-01-01,124767
Laba/Rugi,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,LABA (RUGI) BERSIH,2015-02-01,190472
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-08-01,824542
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-04-01,410064
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-07-01,683952
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-06-01,593463
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-03-01,298775
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-05-01,512833
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-11-01,1178668
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-10-01,1063562
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-09-01,936697
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2013-12-01,1260616
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-08-01,907370
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-04-01,508746
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-12-01,1385876
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-07-01,845034
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-06-01,747620
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-03-01,419036
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-05-01,671030
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-11-01,1284161
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-10-01,1156838
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2014-09-01,1029117
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2015-01-01,147383
Laba/Rugi,LABA (RUGI),LABA (RUGI) OPERASIONAL,LABA (RUGI) OPERASIONAL,2015-02-01,238167
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-08-01,831125
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-04-01,413907
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-07-01,685840
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-06-01,592902
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-03-01,300933
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-05-01,517002
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-11-01,1192978
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-10-01,1075821
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-09-01,948535
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2013-12-01,1279999
Laba/Rugi,LABA (RUGI),    LABA (RUGI) TAHUN BERJALAN,LABA (RUGI) TAHUN BERJALAN,2014-08-01,923060
